State_Raw,County_Raw,Count_Total_Population,Count_Kids_0_18,Count_Working_Age_19_64,Count_Seniors_65Plus,Count_Medicaid_Enrollees,Estimated_Medicaid_Spend,Estimated_Total_County_Spend,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COGNITION,COLON_SCREEN,COPD,CSMOKING,DENTAL,DEPRESSION,DIABETES,DISABILITY,EMOTIONSPT,FOODINSECU,FOODSTAMP,GHLTH,HEARING,HIGHCHOL,HOUSINSECU,INDEPLIVE,LACKTRPT,LONELINESS,LPA,MAMMOUSE,MHLTH,MOBILITY,OBESITY,PHLTH,SELFCARE,SHUTUTILITY,SLEEP,STROKE,TEETHLOST,VISION,COST_DRIVEN_BY_DIABETES,COST_DRIVEN_BY_CANCER,COST_DRIVEN_BY_COPD,COST_DRIVEN_BY_OBESITY
Colorado,Rio Blanco County,6518,1594,3825,1099,1468,13505600,102984400,9.9,22.7,17.6,26.9,50.8,7.4,11.3,5.2,69.4,83.2,14.7,63.9,6.8,13.1,59.4,24.6,9.6,30.1,,,,17.0,6.6,28.2,,7.4,,,18.0,69.3,18.2,10.4,26.7,13.4,3.0,,33.7,3.3,14.2,4.4,10482195.0,18328616.0,5097076.0,5917040.0
Colorado,Rio Grande County,11394,2323,6555,2516,3360,30912000,180025200,15.9,28.4,18.0,33.4,75.0,9.0,10.7,5.4,69.6,85.9,15.1,54.9,7.1,12.8,62.9,21.0,12.2,33.3,,,,19.5,8.7,35.8,,8.2,,,21.9,71.5,17.2,15.0,27.7,14.7,4.2,,30.1,3.8,14.0,5.6,23286419.0,38967480.0,9303201.0,10730869.0
Colorado,Routt County,24990,4380,16222,4388,3185,29302000,394842000,7.5,20.7,20.6,27.9,72.2,7.8,10.6,4.5,72.8,87.6,12.8,61.0,4.5,10.2,68.4,21.8,8.3,24.2,,,,12.6,6.6,33.7,,5.8,,,15.3,72.9,15.9,9.8,23.0,10.6,2.6,,26.6,2.8,6.3,3.4,34746496.0,74070360.0,12932325.0,19542180.0
Colorado,Saguache County,6511,1207,3578,1726,1991,18317200,102873800,15.8,32.0,17.2,29.2,77.1,6.7,11.1,6.1,75.0,81.5,17.7,55.3,9.3,14.6,53.2,21.0,15.1,36.5,,,,21.9,7.5,39.4,,9.3,,,25.9,68.8,15.7,13.7,28.8,16.7,5.3,,32.1,4.7,22.1,6.6,16469913.0,16577006.0,6963515.0,6375571.0
Colorado,San Juan County,690,78,469,143,72,662400,10902000,8.3,28.2,17.1,26.0,50.6,10.3,10.6,6.9,70.0,88.4,12.2,60.8,6.2,11.2,61.9,23.2,10.2,27.8,,,,15.5,6.3,35.3,,6.5,,,15.9,69.7,16.2,11.8,26.4,11.2,3.2,,31.0,3.4,13.5,4.2,1179006.0,2700660.0,491970.0,619344.0
Colorado,San Miguel County,8026,1284,5351,1391,726,6679200,126810800,7.3,25.1,18.1,24.7,50.6,9.3,10.5,5.7,70.8,87.9,12.2,58.0,4.5,9.8,66.9,21.9,8.7,23.4,,,,13.5,6.0,33.7,,5.7,,,14.2,71.6,15.3,9.7,25.3,11.2,2.4,,27.7,2.8,8.1,3.3,11697285.0,28363884.0,4153455.0,6903965.0
Colorado,Sedgwick County,2346,513,1259,574,507,4664400,37066800,12.0,33.6,18.7,28.0,51.4,11.8,11.5,5.7,75.8,87.6,14.8,64.4,9.1,13.6,57.9,24.5,9.0,30.3,,,,18.6,10.7,28.7,,8.9,,,20.5,66.5,18.7,11.9,28.5,13.7,3.6,,31.3,4.7,14.3,6.0,3537017.0,10519464.0,2455089.0,2273274.0
Colorado,Summit County,30857,5064,21054,4739,3788,34849600,487540600,9.2,22.7,19.3,26.3,50.0,7.6,10.4,4.7,70.6,85.0,12.9,62.0,5.0,10.5,67.1,22.1,7.2,24.5,,,,13.8,6.1,26.8,,5.9,,,15.3,71.8,15.3,8.6,23.7,10.7,2.6,,28.7,2.5,10.1,3.4,37217985.0,89115016.0,17742775.0,24864571.0
Colorado,Teller County,24774,3970,14815,5989,4612,42430400,391429200,7.6,22.1,15.9,25.3,50.3,7.7,11.0,4.7,69.8,89.2,13.8,69.8,6.8,11.3,65.9,23.8,10.2,25.2,,,,15.3,6.0,28.4,,6.5,,,15.4,74.3,16.8,12.3,23.4,12.9,3.2,,32.6,3.5,13.6,3.9,42331433.0,72488724.0,19373268.0,19710194.0
Colorado,Washington County,4839,1078,2701,1060,1320,12144000,76456200,10.8,29.4,19.4,32.6,50.3,7.4,11.3,5.3,68.4,86.0,14.9,57.6,7.6,13.8,63.6,22.6,10.5,31.7,,,,16.8,6.7,35.7,,7.7,,,18.6,69.6,18.3,13.8,26.4,14.1,3.7,,30.0,3.8,13.9,4.3,8511607.0,13607268.0,4229286.0,4343486.0
